Notes,Race,Race Code,Cancer Sites,Cancer Sites Code,Age Groups,Age Groups Code,Sex,Sex Code,Count
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,60-64 years,60-64,Female,F,14499
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,60-64 years,60-64,Male,M,15971
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,65-69 years,65-69,Female,F,14050
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,65-69 years,65-69,Male,M,16595
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,70-74 years,70-74,Female,F,11949
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,70-74 years,70-74,Male,M,14128
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,75-79 years,75-79,Female,F,9085
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,75-79 years,75-79,Male,M,10111
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,80-84 years,80-84,Female,F,6113
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,80-84 years,80-84,Male,M,6019
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,85+ years,85,Female,F,4861
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,85+ years,85,Male,M,3772
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,20-24 years,20-24,Female,F,16
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,20-24 years,20-24,Male,M,19
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,25-29 years,25-29,Female,F,26
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,25-29 years,25-29,Male,M,28
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,30-34 years,30-34,Female,F,32
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,30-34 years,30-34,Male,M,36
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,35-39 years,35-39,Female,F,53
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,35-39 years,35-39,Male,M,73
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,40-44 years,40-44,Female,F,75
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,40-44 years,40-44,Male,M,170
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,45-49 years,45-49,Female,F,125
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,45-49 years,45-49,Male,M,321
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,50-54 years,50-54,Female,F,203
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,50-54 years,50-54,Male,M,558
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,55-59 years,55-59,Female,F,247
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,55-59 years,55-59,Male,M,703
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,60-64 years,60-64,Female,F,236
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,60-64 years,60-64,Male,M,726
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,65-69 years,65-69,Female,F,221
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,65-69 years,65-69,Male,M,560
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,70-74 years,70-74,Female,F,162
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,70-74 years,70-74,Male,M,407
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,75-79 years,75-79,Female,F,132
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,75-79 years,75-79,Male,M,224
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,80-84 years,80-84,Female,F,84
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,80-84 years,80-84,Male,M,127
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,85+ years,85,Female,F,79
,American Indian or Alaska Native,1002-5,Oral Cavity and Pharynx,20010-20100,85+ years,85,Male,M,83
,American Indian or Alaska Native,1002-5,Lip,20010,55-59 years,55-59,Male,M,22
,American Indian or Alaska Native,1002-5,Lip,20010,60-64 years,60-64,Male,M,25
,American Indian or Alaska Native,1002-5,Lip,20010,65-69 years,65-69,Male,M,24
,American Indian or Alaska Native,1002-5,Lip,20010,70-74 years,70-74,Male,M,26
,American Indian or Alaska Native,1002-5,Lip,20010,75-79 years,75-79,Male,M,16
,American Indian or Alaska Native,1002-5,Lip,20010,80-84 years,80-84,Male,M,16
,American Indian or Alaska Native,1002-5,Tongue,20020,40-44 years,40-44,Female,F,20
,American Indian or Alaska Native,1002-5,Tongue,20020,40-44 years,40-44,Male,M,35
,American Indian or Alaska Native,1002-5,Tongue,20020,45-49 years,45-49,Female,F,39
,American Indian or Alaska Native,1002-5,Tongue,20020,45-49 years,45-49,Male,M,73
,American Indian or Alaska Native,1002-5,Tongue,20020,50-54 years,50-54,Female,F,52
,American Indian or Alaska Native,1002-5,Tongue,20020,50-54 years,50-54,Male,M,143
,American Indian or Alaska Native,1002-5,Tongue,20020,55-59 years,55-59,Female,F,84
,American Indian or Alaska Native,1002-5,Tongue,20020,55-59 years,55-59,Male,M,203
,American Indian or Alaska Native,1002-5,Tongue,20020,60-64 years,60-64,Female,F,76
,American Indian or Alaska Native,1002-5,Tongue,20020,60-64 years,60-64,Male,M,198
,American Indian or Alaska Native,1002-5,Tongue,20020,65-69 years,65-69,Female,F,59
,American Indian or Alaska Native,1002-5,Tongue,20020,65-69 years,65-69,Male,M,152
,American Indian or Alaska Native,1002-5,Tongue,20020,70-74 years,70-74,Female,F,42
,American Indian or Alaska Native,1002-5,Tongue,20020,70-74 years,70-74,Male,M,101
,American Indian or Alaska Native,1002-5,Tongue,20020,75-79 years,75-79,Female,F,30
,American Indian or Alaska Native,1002-5,Tongue,20020,75-79 years,75-79,Male,M,64
,American Indian or Alaska Native,1002-5,Tongue,20020,80-84 years,80-84,Female,F,20
,American Indian or Alaska Native,1002-5,Tongue,20020,80-84 years,80-84,Male,M,40
,American Indian or Alaska Native,1002-5,Tongue,20020,85+ years,85,Female,F,19
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,35-39 years,35-39,Female,F,18
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,35-39 years,35-39,Male,M,16
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,40-44 years,40-44,Female,F,20
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,45-49 years,45-49,Female,F,26
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,45-49 years,45-49,Male,M,25
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,50-54 years,50-54,Female,F,40
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,50-54 years,50-54,Male,M,29
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,55-59 years,55-59,Female,F,25
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,55-59 years,55-59,Male,M,27
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,60-64 years,60-64,Female,F,18
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,60-64 years,60-64,Male,M,34
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,65-69 years,65-69,Female,F,27
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,65-69 years,65-69,Male,M,21
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,70-74 years,70-74,Female,F,21
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,70-74 years,70-74,Male,M,38
,American Indian or Alaska Native,1002-5,Salivary Gland,20030,75-79 years,75-79,Male,M,28
,American Indian or Alaska Native,1002-5,Floor of Mouth,20040,45-49 years,45-49,Male,M,19
,American Indian or Alaska Native,1002-5,Floor of Mouth,20040,50-54 years,50-54,Male,M,36
,American Indian or Alaska Native,1002-5,Floor of Mouth,20040,55-59 years,55-59,Female,F,24
,American Indian or Alaska Native,1002-5,Floor of Mouth,20040,55-59 years,55-59,Male,M,41
,American Indian or Alaska Native,1002-5,Floor of Mouth,20040,60-64 years,60-64,Male,M,45
,American Indian or Alaska Native,1002-5,Floor of Mouth,20040,65-69 years,65-69,Male,M,36
,American Indian or Alaska Native,1002-5,Floor of Mouth,20040,70-74 years,70-74,Male,M,20
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,45-49 years,45-49,Male,M,23
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,50-54 years,50-54,Female,F,31
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,50-54 years,50-54,Male,M,41
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,55-59 years,55-59,Female,F,34
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,55-59 years,55-59,Male,M,56
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,60-64 years,60-64,Female,F,40
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,60-64 years,60-64,Male,M,71
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,65-69 years,65-69,Female,F,30
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,65-69 years,65-69,Male,M,60
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,70-74 years,70-74,Female,F,39
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,70-74 years,70-74,Male,M,38
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,75-79 years,75-79,Female,F,36
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,75-79 years,75-79,Male,M,36
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,80-84 years,80-84,Female,F,17
,American Indian or Alaska Native,1002-5,Gum and Other Mouth,20050,85+ years,85,Female,F,22
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,40-44 years,40-44,Male,M,26
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,45-49 years,45-49,Male,M,37
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,50-54 years,50-54,Female,F,22
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,50-54 years,50-54,Male,M,49
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,55-59 years,55-59,Female,F,18
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,55-59 years,55-59,Male,M,56
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,60-64 years,60-64,Female,F,24
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,60-64 years,60-64,Male,M,49
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,65-69 years,65-69,Female,F,17
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,65-69 years,65-69,Male,M,36
,American Indian or Alaska Native,1002-5,Nasopharynx,20060,70-74 years,70-74,Male,M,19
,American Indian or Alaska Native,1002-5,Tonsil,20070,40-44 years,40-44,Male,M,44
,American Indian or Alaska Native,1002-5,Tonsil,20070,45-49 years,45-49,Male,M,103
,American Indian or Alaska Native,1002-5,Tonsil,20070,50-54 years,50-54,Female,F,31
,American Indian or Alaska Native,1002-5,Tonsil,20070,50-54 years,50-54,Male,M,160
,American Indian or Alaska Native,1002-5,Tonsil,20070,55-59 years,55-59,Female,F,21
,American Indian or Alaska Native,1002-5,Tonsil,20070,55-59 years,55-59,Male,M,176
,American Indian or Alaska Native,1002-5,Tonsil,20070,60-64 years,60-64,Female,F,30
,American Indian or Alaska Native,1002-5,Tonsil,20070,60-64 years,60-64,Male,M,171
,American Indian or Alaska Native,1002-5,Tonsil,20070,65-69 years,65-69,Female,F,29
,American Indian or Alaska Native,1002-5,Tonsil,20070,65-69 years,65-69,Male,M,116
,American Indian or Alaska Native,1002-5,Tonsil,20070,70-74 years,70-74,Male,M,69
,American Indian or Alaska Native,1002-5,Tonsil,20070,75-79 years,75-79,Male,M,27
,American Indian or Alaska Native,1002-5,Oropharynx,20080,45-49 years,45-49,Male,M,20
,American Indian or Alaska Native,1002-5,Oropharynx,20080,50-54 years,50-54,Male,M,32
,American Indian or Alaska Native,1002-5,Oropharynx,20080,55-59 years,55-59,Female,F,19
,American Indian or Alaska Native,1002-5,Oropharynx,20080,55-59 years,55-59,Male,M,44
,American Indian or Alaska Native,1002-5,Oropharynx,20080,60-64 years,60-64,Male,M,48
,American Indian or Alaska Native,1002-5,Oropharynx,20080,65-69 years,65-69,Male,M,29
,American Indian or Alaska Native,1002-5,Oropharynx,20080,70-74 years,70-74,Male,M,32
,American Indian or Alaska Native,1002-5,Hypopharynx,20090,50-54 years,50-54,Male,M,40
,American Indian or Alaska Native,1002-5,Hypopharynx,20090,55-59 years,55-59,Female,F,16
,American Indian or Alaska Native,1002-5,Hypopharynx,20090,55-59 years,55-59,Male,M,66
,American Indian or Alaska Native,1002-5,Hypopharynx,20090,60-64 years,60-64,Male,M,58
,American Indian or Alaska Native,1002-5,Hypopharynx,20090,65-69 years,65-69,Female,F,23
,American Indian or Alaska Native,1002-5,Hypopharynx,20090,65-69 years,65-69,Male,M,68
,American Indian or Alaska Native,1002-5,Hypopharynx,20090,70-74 years,70-74,Male,M,48
,American Indian or Alaska Native,1002-5,Hypopharynx,20090,75-79 years,75-79,Male,M,22
,American Indian or Alaska Native,1002-5,Hypopharynx,20090,80-84 years,80-84,Male,M,18
,American Indian or Alaska Native,1002-5,Other Oral Cavity and Pharynx,20100,60-64 years,60-64,Male,M,27
,American Indian or Alaska Native,1002-5,Other Oral Cavity and Pharynx,20100,65-69 years,65-69,Male,M,18
,American Indian or Alaska Native,1002-5,Other Oral Cavity and Pharynx,20100,70-74 years,70-74,Male,M,16
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,< 1 year,1,Male,M,16
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,1-4 years,1-4,Female,F,19
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,1-4 years,1-4,Male,M,28
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,15-19 years,15-19,Female,F,38
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,15-19 years,15-19,Male,M,33
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,20-24 years,20-24,Female,F,58
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,20-24 years,20-24,Male,M,57
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,25-29 years,25-29,Female,F,124
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,25-29 years,25-29,Male,M,130
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,30-34 years,30-34,Female,F,241
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,30-34 years,30-34,Male,M,226
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,35-39 years,35-39,Female,F,464
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,35-39 years,35-39,Male,M,452
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,40-44 years,40-44,Female,F,770
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,40-44 years,40-44,Male,M,821
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,45-49 years,45-49,Female,F,1305
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,45-49 years,45-49,Male,M,1639
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,50-54 years,50-54,Female,F,2001
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,50-54 years,50-54,Male,M,2828
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,55-59 years,55-59,Female,F,2422
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,55-59 years,55-59,Male,M,3704
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,60-64 years,60-64,Female,F,2834
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,60-64 years,60-64,Male,M,4127
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,65-69 years,65-69,Female,F,2827
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,65-69 years,65-69,Male,M,3812
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,70-74 years,70-74,Female,F,2644
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,70-74 years,70-74,Male,M,3200
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,75-79 years,75-79,Female,F,2159
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,75-79 years,75-79,Male,M,2311
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,80-84 years,80-84,Female,F,1619
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,80-84 years,80-84,Male,M,1508
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,85+ years,85,Female,F,1392
,American Indian or Alaska Native,1002-5,Digestive System,21010-21130,85+ years,85,Male,M,913
,American Indian or Alaska Native,1002-5,Esophagus,21010,35-39 years,35-39,Male,M,16
,American Indian or Alaska Native,1002-5,Esophagus,21010,40-44 years,40-44,Male,M,50
,American Indian or Alaska Native,1002-5,Esophagus,21010,45-49 years,45-49,Female,F,23
,American Indian or Alaska Native,1002-5,Esophagus,21010,45-49 years,45-49,Male,M,82
,American Indian or Alaska Native,1002-5,Esophagus,21010,50-54 years,50-54,Female,F,39
,American Indian or Alaska Native,1002-5,Esophagus,21010,50-54 years,50-54,Male,M,167
,American Indian or Alaska Native,1002-5,Esophagus,21010,55-59 years,55-59,Female,F,76
,American Indian or Alaska Native,1002-5,Esophagus,21010,55-59 years,55-59,Male,M,261
,American Indian or Alaska Native,1002-5,Esophagus,21010,60-64 years,60-64,Female,F,90
,American Indian or Alaska Native,1002-5,Esophagus,21010,60-64 years,60-64,Male,M,302
,American Indian or Alaska Native,1002-5,Esophagus,21010,65-69 years,65-69,Female,F,72
,American Indian or Alaska Native,1002-5,Esophagus,21010,65-69 years,65-69,Male,M,299
,American Indian or Alaska Native,1002-5,Esophagus,21010,70-74 years,70-74,Female,F,88
,American Indian or Alaska Native,1002-5,Esophagus,21010,70-74 years,70-74,Male,M,270
,American Indian or Alaska Native,1002-5,Esophagus,21010,75-79 years,75-79,Female,F,45
,American Indian or Alaska Native,1002-5,Esophagus,21010,75-79 years,75-79,Male,M,169
,American Indian or Alaska Native,1002-5,Esophagus,21010,80-84 years,80-84,Female,F,44
,American Indian or Alaska Native,1002-5,Esophagus,21010,80-84 years,80-84,Male,M,115
,American Indian or Alaska Native,1002-5,Esophagus,21010,85+ years,85,Female,F,36
,American Indian or Alaska Native,1002-5,Esophagus,21010,85+ years,85,Male,M,54
,American Indian or Alaska Native,1002-5,Stomach,21020,30-34 years,30-34,Female,F,34
,American Indian or Alaska Native,1002-5,Stomach,21020,30-34 years,30-34,Male,M,28
,American Indian or Alaska Native,1002-5,Stomach,21020,35-39 years,35-39,Female,F,72
,American Indian or Alaska Native,1002-5,Stomach,21020,35-39 years,35-39,Male,M,64
,American Indian or Alaska Native,1002-5,Stomach,21020,40-44 years,40-44,Female,F,93
,American Indian or Alaska Native,1002-5,Stomach,21020,40-44 years,40-44,Male,M,93
,American Indian or Alaska Native,1002-5,Stomach,21020,45-49 years,45-49,Female,F,132
,American Indian or Alaska Native,1002-5,Stomach,21020,45-49 years,45-49,Male,M,145
,American Indian or Alaska Native,1002-5,Stomach,21020,50-54 years,50-54,Female,F,147
,American Indian or Alaska Native,1002-5,Stomach,21020,50-54 years,50-54,Male,M,213
,American Indian or Alaska Native,1002-5,Stomach,21020,55-59 years,55-59,Female,F,193
,American Indian or Alaska Native,1002-5,Stomach,21020,55-59 years,55-59,Male,M,274
,American Indian or Alaska Native,1002-5,Stomach,21020,60-64 years,60-64,Female,F,191
,American Indian or Alaska Native,1002-5,Stomach,21020,60-64 years,60-64,Male,M,346
,American Indian or Alaska Native,1002-5,Stomach,21020,65-69 years,65-69,Female,F,236
,American Indian or Alaska Native,1002-5,Stomach,21020,65-69 years,65-69,Male,M,347
,American Indian or Alaska Native,1002-5,Stomach,21020,70-74 years,70-74,Female,F,210
,American Indian or Alaska Native,1002-5,Stomach,21020,70-74 years,70-74,Male,M,367
,American Indian or Alaska Native,1002-5,Stomach,21020,75-79 years,75-79,Female,F,195
,American Indian or Alaska Native,1002-5,Stomach,21020,75-79 years,75-79,Male,M,276
,American Indian or Alaska Native,1002-5,Stomach,21020,80-84 years,80-84,Female,F,142
,American Indian or Alaska Native,1002-5,Stomach,21020,80-84 years,80-84,Male,M,190
,American Indian or Alaska Native,1002-5,Stomach,21020,85+ years,85,Female,F,114
,American Indian or Alaska Native,1002-5,Stomach,21020,85+ years,85,Male,M,122
,American Indian or Alaska Native,1002-5,Small Intestine,21030,35-39 years,35-39,Female,F,19
,American Indian or Alaska Native,1002-5,Small Intestine,21030,40-44 years,40-44,Female,F,26
,American Indian or Alaska Native,1002-5,Small Intestine,21030,40-44 years,40-44,Male,M,24
,American Indian or Alaska Native,1002-5,Small Intestine,21030,45-49 years,45-49,Female,F,43
,American Indian or Alaska Native,1002-5,Small Intestine,21030,45-49 years,45-49,Male,M,33
,American Indian or Alaska Native,1002-5,Small Intestine,21030,50-54 years,50-54,Female,F,47
,American Indian or Alaska Native,1002-5,Small Intestine,21030,50-54 years,50-54,Male,M,54
,American Indian or Alaska Native,1002-5,Small Intestine,21030,55-59 years,55-59,Female,F,59
,American Indian or Alaska Native,1002-5,Small Intestine,21030,55-59 years,55-59,Male,M,74
,American Indian or Alaska Native,1002-5,Small Intestine,21030,60-64 years,60-64,Female,F,52
,American Indian or Alaska Native,1002-5,Small Intestine,21030,60-64 years,60-64,Male,M,82
,American Indian or Alaska Native,1002-5,Small Intestine,21030,65-69 years,65-69,Female,F,50
,American Indian or Alaska Native,1002-5,Small Intestine,21030,65-69 years,65-69,Male,M,77
,American Indian or Alaska Native,1002-5,Small Intestine,21030,70-74 years,70-74,Female,F,50
,American Indian or Alaska Native,1002-5,Small Intestine,21030,70-74 years,70-74,Male,M,68
,American Indian or Alaska Native,1002-5,Small Intestine,21030,75-79 years,75-79,Female,F,41
,American Indian or Alaska Native,1002-5,Small Intestine,21030,75-79 years,75-79,Male,M,38
,American Indian or Alaska Native,1002-5,Small Intestine,21030,80-84 years,80-84,Female,F,23
,American Indian or Alaska Native,1002-5,Small Intestine,21030,80-84 years,80-84,Male,M,19
,American Indian or Alaska Native,1002-5,Small Intestine,21030,85+ years,85,Female,F,21
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,15-19 years,15-19,Female,F,19
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,15-19 years,15-19,Male,M,18
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,20-24 years,20-24,Female,F,38
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,20-24 years,20-24,Male,M,39
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,25-29 years,25-29,Female,F,82
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,25-29 years,25-29,Male,M,77
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,30-34 years,30-34,Female,F,150
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,30-34 years,30-34,Male,M,141
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,35-39 years,35-39,Female,F,284
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,35-39 years,35-39,Male,M,274
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,40-44 years,40-44,Female,F,477
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,40-44 years,40-44,Male,M,440
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,45-49 years,45-49,Female,F,725
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,45-49 years,45-49,Male,M,855
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,50-54 years,50-54,Female,F,1206
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,50-54 years,50-54,Male,M,1421
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,55-59 years,55-59,Female,F,1185
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,55-59 years,55-59,Male,M,1536
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,60-64 years,60-64,Female,F,1393
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,60-64 years,60-64,Male,M,1770
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,65-69 years,65-69,Female,F,1352
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,65-69 years,65-69,Male,M,1640
,American Indian or Alaska Native,1002-5,Colon and Rectum,21041-21052,70-74 years,70-74,Female,F,1288
